OBJECTID,ZIPCODE2,ZIPNAME,EXISTING,ZIPCODE1,Shape_Length,Shape_Area
218,02402521132,Pylesville,MDPV2017_18,21132,58403.4560258607,92656343.4356285
219,02402521154,Street,MDPV2017_18,21154,103860.382523287,171787579.839218
220,02402521160,Whiteford,MDPV2017_18,21160,56901.6086471888,69202462.591084
221,02402521161,White Hall,MDPV2017_18,21161,59069.9464697858,115403385.481845
222,02402921610,Betterton,MDPV2017_18,21610,22006.7743460025,10521137.7310536
223,02402921620,Chestertown,MDPV2017_18,21620,271184.768192669,384036746.138427
224,02402921635,Galena,MDPV2017_18,21635,113135.640409103,122033944.491311
225,02402921645,Kennedyville,MDPV2017_18,21645,128671.171961829,193400787.33912
226,02402921650,Massey,MDPV2017_18,21650,46962.3131776839,57261746.1502529
227,02402921651,Millington,MDPV2017_18,21651,106212.638264561,119579748.508597
228,02402921661,Rock Hall,MDPV2017_18,21661,225262.528094066,139557277.483018
229,02402921667,Still Pond,MDPV2017_18,21667,41467.5815436687,21877809.2307206
230,02402921678,Worton,MDPV2017_18,21678,127664.745394572,164758642.215189
231,02403521607,Barclay,MDPV2017_18,21607,62447.1018859689,56266296.1074265
232,02403521617,Centreville,MDPV2017_18,21617,272049.899786391,470388845.469631
233,02403521619,Chester,MDPV2017_18,21619,122012.071830163,41663477.4033121
234,02403521620,Chestertown,MDPV2017_18,21620,92246.4939875861,129385295.5986
235,02403521623,Church Hill,MDPV2017_18,21623,98404.2663106699,142621858.125074
236,02403521638,Grasonville,MDPV2017_18,21638,101645.190726363,39263051.4622807
237,02403521640,Henderson,MDPV2017_18,21640,36478.6278240347,28824835.3514761
238,02403521644,Ingleside,MDPV2017_18,21644,30558.622055966,21705212.2986779
239,02403521649,Marydel,MDPV2017_18,21649,43433.5154252445,50493604.0613047
240,02403521651,Millington,MDPV2017_18,21651,91209.5367674156,65004813.8920532
241,02403521657,Queen Anne,MDPV2017_18,21657,67579.4476215202,92603539.4829201
242,02403521658,Queenstown,MDPV2017_18,21658,274806.846827314,176946063.365047
243,02403521666,Stevensville,MDPV2017_18,21666,165306.090803278,93386584.1639335
244,02403521668,Sudlersville,MDPV2017_18,21668,127161.002073636,190336200.796748
245,02403521679,Wye Mills,MDPV2017_18,21679,14503.941935897,2647247.29888597
246,02403921817,Crisfield,MDPV2017_18,21817,452131.474987324,96400755.9664164
247,02403921821,Deal Island,MDPV2017_18,21821,222227.401525441,99792806.1624489
248,02403921822,Eden,MDPV2017_18,21822,41339.3680001366,46771690.293369
249,02403921824,Ewell,MDPV2017_18,21824,374570.674976628,41134486.3570761
250,02403921838,Marion Station,MDPV2017_18,21838,161704.945501956,223583489.861334
251,02403921851,Pocomoke City,MDPV2017_18,21851,53883.0015131721,82974003.0816837
252,02403921853,Princess Anne,MDPV2017_18,21853,171089.097998293,496019982.016808
253,02403921871,Westover,MDPV2017_18,21871,333809.942485845,283886346.566589
254,02403921890,Westover,MDPV2017_18,21890,13444.7867549749,3862412.31750287
255,02404121601,Easton,MDPV2017_18,21601,467704.219703543,481895198.421016
256,02404121612,Bozman,MDPV2017_18,21612,78041.0585995963,24031331.9499389
257,02404121625,Cordova,MDPV2017_18,21625,84142.1688604538,156719015.426369
258,02404121647,McDaniel,MDPV2017_18,21647,34873.1070820993,17008087.2004676
259,02404121652,Neavitt,MDPV2017_18,21652,11465.5002738842,2125866.76940845
260,02404121654,Oxford,MDPV2017_18,21654,97793.6624674139,48260979.353574
261,02404121657,Queen Anne,MDPV2017_18,21657,48078.5151891739,29605400.2347784
262,02404121662,Royal Oak,MDPV2017_18,21662,93487.4273849081,35584363.6606471
263,02404121663,Saint Michaels,MDPV2017_18,21663,143186.11373927,56944534.0013026
264,02404121665,Sherwood,MDPV2017_18,21665,40721.94326935,14886955.4919669
265,02404121671,Tilghman,MDPV2017_18,21671,30159.5230740958,8964567.25513778
