"","Zip","July 2021","August 2021","September 2021","October 2021","November 2021","December 2021","January 2022","February 2020","March 2022","April 2022","May 2022","June 2022","July 2022","August 2022","September 2022","October 2022","November 2022","December 2022","January 2023","February 2023","March 2023"
"223","21046",2,4,3,4,2,3,3,5,5,6,5,7,4,10,5,4,6,10,11,4,2
"224","21047",0,1,2,3,6,3,3,1,2,5,4,6,6,12,4,7,6,5,5,10,10
"225","21048",1,2,4,4,5,5,3,5,7,2,7,8,8,7,4,8,7,14,8,8,12
"226","21050",1,3,8,11,1,5,4,1,7,5,11,11,4,9,6,10,11,8,12,8,11
"227","21051",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
"228","21052",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,6,3
"229","21053",0,1,0,3,0,2,1,1,1,2,1,3,5,4,1,2,0,1,2,3,2
"230","21054",0,1,4,4,6,5,2,11,5,5,5,5,4,5,9,12,5,4,7,4,5
"231","21056",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"232","21057",2,0,0,1,0,1,1,1,1,0,3,0,2,0,2,1,0,0,2,3,1
"233","21060",7,8,28,26,26,24,25,25,36,44,36,44,41,56,53,54,50,50,66,62,51
"234","21061",5,16,38,27,22,29,27,32,38,53,38,55,50,52,48,43,45,63,83,56,58
"235","21064",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"236","21071",0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,1,1,0,0,0,1
"237","21074",1,2,4,6,7,12,7,8,10,14,12,13,16,13,13,18,14,15,19,12,16
"238","21075",2,1,3,7,11,14,9,13,4,21,14,18,16,21,13,18,14,18,23,19,21
"239","21076",2,1,4,9,10,4,10,11,6,8,9,10,14,14,10,24,15,10,23,28,12
"240","21077",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"241","21078",3,2,10,14,12,9,9,16,10,14,14,18,15,23,21,22,22,19,22,19,14
"242","21082",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2
"243","21084",0,0,2,2,3,1,3,1,3,1,3,5,5,4,5,3,4,2,4,3,3
"244","21085",4,6,9,11,15,9,10,10,21,26,21,21,13,19,15,28,17,26,21,25,14
"245","21087",1,0,0,2,1,1,0,2,0,0,1,5,1,7,4,5,6,4,3,3,8
"246","21090",2,1,1,6,4,6,3,4,3,4,4,3,6,4,5,3,3,2,9,8,11
"247","21093",2,3,9,4,8,10,10,7,8,13,11,8,5,10,8,10,13,11,13,10,7
"248","21094",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"249","21101",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"250","21102",1,2,10,8,5,8,2,5,10,13,5,6,7,13,12,8,8,14,17,19,18
"251","21104",0,1,1,1,0,0,0,3,0,0,0,0,0,3,0,0,1,2,0,5,0
"252","21105",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"253","21106",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"254","21107",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
